nohup: ignoring input
Importing module 'gym_37' (/home/achard/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_37.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/achard/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 1.8.1
Device count 2
/home/achard/isaacgym/python/isaacgym/_bindings/src/gymtorch
Using /home/achard/.cache/torch_extensions as PyTorch extensions root...
Emitting ninja build file /home/achard/.cache/torch_extensions/gymtorch/build.ninja...
Building extension module gymtorch...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module gymtorch...
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:0
GPU Pipeline: enabled
self.num_dof 18
Creating 300 environments.
velocity 1.0
effort 30.0
stiffness 70.0
damping 0.1
mini_chunk_size:  136
rollout_size:  2176
Steps: 0000 | Opt Step: 0000 | Reward 0.0159 | Action Var 0.1000
Steps: 0100 | Opt Step: 0000 | Reward -1.6793 | Action Var 0.0990
Steps: 0200 | Opt Step: 0000 | Reward -1.6963 | Action Var 0.0980
Steps: 0300 | Opt Step: 0000 | Reward -1.6961 | Action Var 0.0970
Steps: 0400 | Opt Step: 0000 | Reward -1.6967 | Action Var 0.0960
Steps: 0500 | Opt Step: 0000 | Reward -1.6959 | Action Var 0.0950
Steps: 0600 | Opt Step: 0000 | Reward -1.6957 | Action Var 0.0940
Steps: 0700 | Opt Step: 0000 | Reward -1.6959 | Action Var 0.0930
Steps: 0800 | Opt Step: 0000 | Reward -1.6952 | Action Var 0.0920
Steps: 0900 | Opt Step: 0000 | Reward -1.6953 | Action Var 0.0910
Steps: 1000 | Opt Step: 0000 | Reward -1.6958 | Action Var 0.0900
Steps: 1100 | Opt Step: 0000 | Reward -1.6951 | Action Var 0.0890
Steps: 1200 | Opt Step: 0000 | Reward -1.6959 | Action Var 0.0880
Steps: 1300 | Opt Step: 0000 | Reward -1.6956 | Action Var 0.0870
Steps: 1400 | Opt Step: 0000 | Reward -1.6949 | Action Var 0.0860
Steps: 1500 | Opt Step: 0000 | Reward -1.6957 | Action Var 0.0850
Steps: 1600 | Opt Step: 0000 | Reward -1.6956 | Action Var 0.0840
Steps: 1700 | Opt Step: 0000 | Reward -1.6952 | Action Var 0.0830
Steps: 1800 | Opt Step: 0000 | Reward -1.6956 | Action Var 0.0820
Steps: 1900 | Opt Step: 0000 | Reward -1.6956 | Action Var 0.0810
Steps: 2000 | Opt Step: 0000 | Reward -1.6944 | Action Var 0.0800
Steps: 2100 | Opt Step: 0000 | Reward -1.6945 | Action Var 0.0790
Training
Steps: 2200 | Opt Step: 0075 | Reward -1.7133 | Action Var 0.0780
