nohup: ignoring input
Importing module 'gym_37' (/home/achard/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_37.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/achard/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 1.8.1
Device count 2
/home/achard/isaacgym/python/isaacgym/_bindings/src/gymtorch
Using /home/achard/.cache/torch_extensions as PyTorch extensions root...
Emitting ninja build file /home/achard/.cache/torch_extensions/gymtorch/build.ninja...
Building extension module gymtorch...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module gymtorch...
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:0
GPU Pipeline: enabled
self.num_dof 18
Creating 300 environments.
velocity 1.0
effort 10000000000.0
stiffness 1.3
damping 0.1
mini_chunk_size:  136
rollout_size:  2176
loaded from:  /home/achard/isaacgym/python/isaacGymEnvs/isaacgymenvs/minimal-isaacgym/fly_bProject/save7_1_23/save1_standing_18dofs_.pth
Steps: 0000 | Opt Step: 0000 | Reward 0.0049 | Action Var 0.2000
Steps: 0100 | Opt Step: 0000 | Reward -1.4131 | Action Var 0.1990
Steps: 0200 | Opt Step: 0000 | Reward 0.5474 | Action Var 0.1980
Steps: 0300 | Opt Step: 0000 | Reward 0.1279 | Action Var 0.1970
Steps: 0400 | Opt Step: 0000 | Reward 0.3134 | Action Var 0.1960
Steps: 0500 | Opt Step: 0000 | Reward 0.0867 | Action Var 0.1950
Steps: 0600 | Opt Step: 0000 | Reward 0.1724 | Action Var 0.1940
Steps: 0700 | Opt Step: 0000 | Reward 0.2351 | Action Var 0.1930
Steps: 0800 | Opt Step: 0000 | Reward 0.2136 | Action Var 0.1920
Steps: 0900 | Opt Step: 0000 | Reward 0.2988 | Action Var 0.1910
Steps: 1000 | Opt Step: 0000 | Reward 0.4302 | Action Var 0.1900
Steps: 1100 | Opt Step: 0000 | Reward 0.1590 | Action Var 0.1890
Steps: 1200 | Opt Step: 0000 | Reward 0.3122 | Action Var 0.1880
Steps: 1300 | Opt Step: 0000 | Reward 0.4082 | Action Var 0.1870
Steps: 1400 | Opt Step: 0000 | Reward 0.2973 | Action Var 0.1860
Steps: 1500 | Opt Step: 0000 | Reward 0.1911 | Action Var 0.1850
Steps: 1600 | Opt Step: 0000 | Reward 0.4130 | Action Var 0.1840
Steps: 1700 | Opt Step: 0000 | Reward 0.1816 | Action Var 0.1830
Steps: 1800 | Opt Step: 0000 | Reward 0.3105 | Action Var 0.1820
Steps: 1900 | Opt Step: 0000 | Reward 0.1039 | Action Var 0.1810
Steps: 2000 | Opt Step: 0000 | Reward 0.4268 | Action Var 0.1800
Steps: 2100 | Opt Step: 0000 | Reward 0.2074 | Action Var 0.1790
Training
Steps: 2200 | Opt Step: 0075 | Reward 0.4258 | Action Var 0.1780
Steps: 2300 | Opt Step: 0075 | Reward 1.2406 | Action Var 0.1770
Steps: 2400 | Opt Step: 0075 | Reward 0.3994 | Action Var 0.1760
Steps: 2500 | Opt Step: 0075 | Reward 0.4489 | Action Var 0.1750
Steps: 2600 | Opt Step: 0075 | Reward 0.3457 | Action Var 0.1740
Steps: 2700 | Opt Step: 0075 | Reward 0.5014 | Action Var 0.1730
